building_code,room_code,type_name,name,asset_code,serial_number,installed_at,note
RT-B1,R1304,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-90,90,23/2/2026,
RT-B1,R1402,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-91,91,23/2/2026,
RT-B1,R1402,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-92,92,23/2/2026,
RT-B1,R1402,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-93,93,23/2/2026,
RT-B1,R1402,ไมค์สาย,ไมค์สาย 1,NBU3-94,94,23/2/2026,
RT-B1,R1402,ลำโพง,ลำโพง,NBU3-95,95,23/2/2026,
RT-B1,R1402,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-96,96,23/2/2026,
RT-B1,R1403,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-97,97,23/2/2026,
RT-B1,R1403,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-98,98,23/2/2026,
RT-B1,R1403,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-99,99,23/2/2026,
RT-B1,R1403,ไมค์สาย,ไมค์สาย 1,NBU3-100,100,23/2/2026,
RT-B1,R1403,ลำโพง,ลำโพง,NBU3-101,101,23/2/2026,
RT-B1,R1403,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-102,102,23/2/2026,
RT-B1,R1404,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-103,103,23/2/2026,
RT-B1,R1404,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-104,104,23/2/2026,
RT-B1,R1404,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-105,105,23/2/2026,
RT-B1,R1404,ไมค์สาย,ไมค์สาย 1,NBU3-106,106,23/2/2026,
RT-B1,R1404,ลำโพง,ลำโพง,NBU3-107,107,23/2/2026,
RT-B1,R1404,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-108,108,23/2/2026,
RT-B1,R1405,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-109,109,23/2/2026,
RT-B1,R1405,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-110,110,23/2/2026,
RT-B1,R1405,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-111,111,23/2/2026,
RT-B1,R1405,ไมค์สาย,ไมค์สาย 1,NBU3-112,112,23/2/2026,
RT-B1,R1405,ลำโพง,ลำโพง,NBU3-113,113,23/2/2026,
RT-B1,R1405,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-114,114,23/2/2026,
RT-B1,R1406,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-115,115,23/2/2026,
RT-B1,R1406,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-116,116,23/2/2026,
RT-B1,R1406,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-117,117,23/2/2026,
RT-B1,R1406,ไมค์สาย,ไมค์สาย 1,NBU3-118,118,23/2/2026,
RT-B1,R1406,ลำโพง,ลำโพง,NBU3-119,119,23/2/2026,
RT-B1,R1406,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-120,120,23/2/2026,
RT-B1,R1407,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-121,121,23/2/2026,
RT-B1,R1407,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-122,122,23/2/2026,
RT-B1,R1407,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-123,123,23/2/2026,
RT-B1,R1407,ไมค์สาย,ไมค์สาย 1,NBU3-124,124,23/2/2026,
RT-B1,R1407,ลำโพง,ลำโพง,NBU3-125,125,23/2/2026,
RT-B1,R1407,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-126,126,23/2/2026,
RT-B1,R1408,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-127,127,23/2/2026,
RT-B1,R1408,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-128,128,23/2/2026,
RT-B1,R1408,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-129,129,23/2/2026,
RT-B1,R1408,ไมค์สาย,ไมค์สาย 1,NBU3-130,130,23/2/2026,
RT-B1,R1408,ลำโพง,ลำโพง,NBU3-131,131,23/2/2026,
RT-B1,R1408,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-132,132,23/2/2026,
RT-B1,R1502,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-133,133,23/2/2026,
RT-B1,R1502,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-134,134,23/2/2026,
RT-B1,R1502,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-135,135,23/2/2026,
RT-B1,R1502,ไมค์สาย,ไมค์สาย 1,NBU3-136,136,23/2/2026,
RT-B1,R1502,ลำโพง,ลำโพง,NBU3-137,137,23/2/2026,
RT-B1,R1502,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-138,138,23/2/2026,
RT-B1,R1503,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-139,139,23/2/2026,
RT-B1,R1503,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-140,140,23/2/2026,
RT-B1,R1503,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-141,141,23/2/2026,
RT-B1,R1503,ไมค์สาย,ไมค์สาย 1,NBU3-142,142,23/2/2026,
RT-B1,R1503,ลำโพง,ลำโพง,NBU3-143,143,23/2/2026,
RT-B1,R1503,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-144,144,23/2/2026,
RT-B1,R1504,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-145,145,23/2/2026,
RT-B1,R1504,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-146,146,23/2/2026,
RT-B1,R1504,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-147,147,23/2/2026,
RT-B1,R1504,ไมค์สาย,ไมค์สาย 1,NBU3-148,148,23/2/2026,
RT-B1,R1504,ลำโพง,ลำโพง,NBU3-149,149,23/2/2026,
